load,metric,A_mean,A_ci95,A_p95,A_n,B_mean,B_ci95,B_p95,B_n,RO_percent
stress,api_throughput_rps,297.02955172361817,40.44101970562278,337.5763747454175,12,155.37234462466822,53.07038740134805,289.1770011273957,12,47.69128400757915
stress,collector_cpu_cores,0.004091369475684005,0.0001352348456244481,0.00436419180622988,12,0.005273296759191203,0.0001241141904748607,0.005636876079643613,12,-28.888304772562744
stress,collector_mem_mb,194.19075520833334,0.15250263159411553,194.49609375,12,207.890625,0.0,207.890625,12,-7.054851698253632
stress,collector_net_rx_bps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
stress,collector_net_tx_bps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
stress,jaeger_spans_received,21530.318887889076,580.7664110568078,22574.351236116716,12,4404.242375495203,98.07300531577837,4586.8308020549675,12,79.54399840323492
stress,jaeger_spans_saved,21530.318887889076,580.7664110568076,22574.351236116712,12,4404.242375495203,98.07300531577835,4586.8308020549675,12,79.54399840323492
stress,logs_exported_rps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
stress,logs_received_rps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
stress,metrics_exported_rps,5.667298035384857,0.2278069811203381,6.182492635560243,12,6.934074354129566,0.29844534812569445,7.564461577626651,12,-22.352385754822652
stress,metrics_received_rps,5.6672980353848565,0.2278069811203379,6.182492635560243,12,6.934070331122136,0.42486722944488065,7.564599130798465,12,-22.35231476848306
stress,spans_dropped_rps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
stress,spans_exported_rps,34.141711495477395,10.852140720951157,57.988144161181225,12,11.517916367641343,2.2029380059899033,15.274671321804593,12,66.26438493229296
stress,spans_received_rps,34.141711495477395,10.852140720951157,57.988144161181225,12,35.90389344270463,9.405107363243337,55.16865169560869,12,-5.161375543404326
stress,spans_refused_rps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
stress,worker_cpu_cores,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
stress,worker_injected_error,5425.801119441237,268.6400447333432,6003.681742827212,12,4654.738360027829,70.46037643615074,4839.152588916123,12,14.211039852725262
stress,worker_injected_slow,2800.8345471319167,138.09275191773762,3087.7821059162147,12,2591.465404713806,42.88767091796024,2697.2325905434127,12,7.475241357348537
stress,worker_injected_total,8226.635666573153,406.709814852341,9091.463848743426,12,7246.2037647416355,113.16426557598007,7536.385179459536,12,11.917774672035783
stress,worker_mem_mb,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
stress,worker_tasks_err,22.716154000951366,3.9171195270231625,31.21988472098478,12,20.697876300229698,1.465760475015349,22.875638717654972,12,8.8847685248002
stress,worker_tasks_ok,424.83043339491763,73.47125809914957,584.1955015728131,12,375.81670419512574,26.78691898394532,415.9620315312858,12,11.537245297638382
